#Mouth boundary - rescaled Littlehampton tidal levels
#Imposed tidal water level
#
T          SL(1)
s          m 
        0.00  -0.014640
       60.00  -0.035630
      120.00  -0.056614
      180.00  -0.077639
      240.00  -0.098753
      300.00  -0.120000
      360.00  -0.141418
      420.00  -0.163002
      480.00  -0.184739
      540.00  -0.206614
      600.00  -0.228615
      660.00  -0.250726
      720.00  -0.272934
      780.00  -0.295225
      840.00  -0.317585
      900.00  -0.340000
      960.00  -0.362456
     1020.00  -0.384939
     1080.00  -0.407434
     1140.00  -0.429927
     1200.00  -0.452401
     1260.00  -0.474844
     1320.00  -0.497240
     1380.00  -0.519574
     1440.00  -0.541833
     1500.00  -0.564000
     1560.00  -0.586067
     1620.00  -0.608048
     1680.00  -0.629960
     1740.00  -0.651823
     1800.00  -0.673655
     1860.00  -0.695474
     1920.00  -0.717300
     1980.00  -0.739150
     2040.00  -0.761044
     2100.00  -0.783000
     2160.00  -0.805026
     2220.00  -0.827084
     2280.00  -0.849128
     2340.00  -0.871109
     2400.00  -0.892979
     2460.00  -0.914691
     2520.00  -0.936197
     2580.00  -0.957449
     2640.00  -0.978399
     2700.00  -0.999000
     2760.00  -1.019219
     2820.00  -1.039087
     2880.00  -1.058651
     2940.00  -1.077958
     3000.00  -1.097053
     3060.00  -1.115985
     3120.00  -1.134798
     3180.00  -1.153541
     3240.00  -1.172259
     3300.00  -1.191000
     3360.00  -1.209796
     3420.00  -1.228623
     3480.00  -1.247446
     3540.00  -1.266228
     3600.00  -1.284933
     3660.00  -1.303522
     3720.00  -1.321960
     3780.00  -1.340210
     3840.00  -1.358236
     3900.00  -1.376000
     3960.00  -1.393477
     4020.00  -1.410684
     4080.00  -1.427649
     4140.00  -1.444401
     4200.00  -1.460967
     4260.00  -1.477375
     4320.00  -1.493655
     4380.00  -1.509833
     4440.00  -1.525939
     4500.00  -1.542000
     4560.00  -1.558041
     4620.00  -1.574073
     4680.00  -1.590106
     4740.00  -1.606145
     4800.00  -1.622201
     4860.00  -1.638281
     4920.00  -1.654392
     4980.00  -1.670544
     5040.00  -1.686744
     5100.00  -1.703000
     5160.00  -1.719310
     5220.00  -1.735630
     5280.00  -1.751906
     5340.00  -1.768082
     5400.00  -1.784104
     5460.00  -1.799919
     5520.00  -1.815470
     5580.00  -1.830703
     5640.00  -1.845565
     5700.00  -1.860000
     5760.00  -1.873974
     5820.00  -1.887533
     5880.00  -1.900743
     5940.00  -1.913670
     6000.00  -1.926381
     6060.00  -1.938941
     6120.00  -1.951417
     6180.00  -1.963875
     6240.00  -1.976380
     6300.00  -1.989000
     6360.00  -2.001778
     6420.00  -2.014670
     6480.00  -2.027610
     6540.00  -2.040533
     6600.00  -2.053371
     6660.00  -2.066060
     6720.00  -2.078534
     6780.00  -2.090725
     6840.00  -2.102570
     6900.00  -2.114000
     6960.00  -2.124967
     7020.00  -2.135484
     7080.00  -2.145581
     7140.00  -2.155287
     7200.00  -2.164634
     7260.00  -2.173649
     7320.00  -2.182364
     7380.00  -2.190807
     7440.00  -2.199009
     7500.00  -2.207000
     7560.00  -2.214807
     7620.00  -2.222451
     7680.00  -2.229951
     7740.00  -2.237326
     7800.00  -2.244594
     7860.00  -2.251775
     7920.00  -2.258887
     7980.00  -2.265949
     8040.00  -2.272981
     8100.00  -2.280000
     8160.00  -2.287017
     8220.00  -2.294008
     8280.00  -2.300939
     8340.00  -2.307777
     8400.00  -2.314490
     8460.00  -2.321043
     8520.00  -2.327404
     8580.00  -2.333539
     8640.00  -2.339415
     8700.00  -2.345000
     8760.00  -2.350267
     8820.00  -2.355221
     8880.00  -2.359873
     8940.00  -2.364236
     9000.00  -2.368322
     9060.00  -2.372141
     9120.00  -2.375707
     9180.00  -2.379031
     9240.00  -2.382125
     9300.00  -2.385000
     9360.00  -2.387668
     9420.00  -2.390132
     9480.00  -2.392398
     9540.00  -2.394469
     9600.00  -2.396348
     9660.00  -2.398039
     9720.00  -2.399546
     9780.00  -2.400873
     9840.00  -2.402023
     9900.00  -2.403000
     9960.00  -2.403808
    10020.00  -2.404449
    10080.00  -2.404929
    10140.00  -2.405248
    10200.00  -2.405412
    10260.00  -2.405422
    10320.00  -2.405283
    10380.00  -2.404997
    10440.00  -2.404569
    10500.00  -2.404000
    10560.00  -2.403292
